,response_date,user_id,nps_rating,source,nps_group
0,2020-11-06,11037,7,email,passive
1,2020-12-24,34434,9,email,promoter
2,2020-12-03,49547,8,email,passive
3,2020-10-04,13821,7,email,passive
4,2020-10-23,29407,9,email,promoter
5,2020-12-03,13041,10,email,promoter
6,2020-10-12,37166,9,email,promoter
7,2020-10-15,14489,8,email,passive
8,2020-12-31,44317,7,email,passive
9,2020-12-05,24127,6,email,detractor
10,2020-12-06,48144,10,email,promoter
11,2020-12-13,48167,6,email,detractor
12,2020-11-12,46082,10,email,promoter
13,2020-11-24,27314,7,email,passive
14,2020-11-26,39777,9,email,promoter
15,2020-11-09,24912,7,email,passive
16,2020-12-11,32973,7,email,passive
17,2020-10-05,16295,7,email,passive
18,2020-12-20,49920,7,email,passive
19,2020-10-31,34443,7,email,passive
20,2020-12-14,38198,0,email,detractor
21,2020-11-16,49584,10,email,promoter
22,2020-11-28,41684,7,email,passive
23,2020-10-15,30388,9,email,promoter
24,2020-10-11,20838,7,email,passive
25,2020-11-22,15539,10,email,promoter
26,2020-11-03,19825,8,email,passive
27,2020-12-19,14484,10,email,promoter
28,2020-11-25,10348,7,email,passive
29,2020-12-31,25069,7,email,passive
30,2020-10-24,22595,10,email,promoter
31,2020-10-16,27065,7,email,passive
32,2020-12-11,49739,7,email,passive
33,2020-12-30,22795,5,email,detractor
34,2020-11-29,30011,9,email,promoter
35,2020-12-27,16711,10,email,promoter
36,2020-12-12,47506,10,email,promoter
37,2020-10-22,44884,7,email,passive
38,2020-10-07,48690,7,email,passive
39,2020-11-29,15798,9,email,promoter
40,2020-10-25,13800,9,email,promoter
41,2020-11-30,20518,10,email,promoter
42,2020-10-19,13806,7,email,passive
43,2020-11-19,15567,4,email,detractor
44,2020-12-03,45774,9,email,promoter
45,2020-10-16,11944,8,email,passive
46,2020-12-10,12431,10,email,promoter
47,2020-12-22,24467,9,email,promoter
48,2020-10-13,39994,8,email,passive
49,2020-10-24,29804,6,email,detractor
